dst,duration_s,episode,jitter_ms,loss_pct,port,protocol,src,throughput_mbps,timestamp
h4,8,13,,,5002,tcp,h2,8.46,2026-05-10T22:02:06.881492Z
h4,8,13,0.113,1.7,6002,udp,h2,,2026-05-10T22:02:06.882004Z
h5,8,13,,,5001,tcp,h1,10.3,2026-05-10T22:02:06.882279Z
h5,8,13,0.115,1.3,6001,udp,h1,,2026-05-10T22:02:06.882521Z
h4,8,14,0.097,0.51,6002,udp,h2,,2026-05-10T22:02:15.052852Z
h5,8,14,0.106,0.25,6001,udp,h1,,2026-05-10T22:02:15.360724Z
h5,8,14,,,5001,tcp,h1,5.54,2026-05-10T22:02:16.186264Z
h4,8,14,,,5002,tcp,h2,6.98,2026-05-10T22:02:16.824348Z
h5,8,15,0.101,0.3,6001,udp,h1,,2026-05-10T22:02:24.978164Z
h4,8,15,0.1,0.49,6002,udp,h2,,2026-05-10T22:02:25.412682Z
h5,8,15,,,5001,tcp,h1,6.1,2026-05-10T22:02:26.105738Z
h4,8,15,,,5002,tcp,h2,6.06,2026-05-10T22:02:26.874385Z
h5,8,16,,,5001,tcp,h1,8.57,2026-05-10T22:02:36.530674Z
h5,8,16,0.112,1.1,6001,udp,h1,,2026-05-10T22:02:36.531521Z
h4,8,16,,,5002,tcp,h2,8.53,2026-05-10T22:02:39.139762Z
h4,8,16,0.116,1.8,6002,udp,h2,,2026-05-10T22:02:39.140585Z
h5,8,17,0.164,0.28,6001,udp,h1,,2026-05-10T22:02:47.316152Z
h4,8,17,,,5002,tcp,h2,9.9,2026-05-10T22:02:51.028127Z
h5,8,17,,,5001,tcp,h1,5.87,2026-05-10T22:02:51.028459Z
h4,8,17,0.115,1.6,6002,udp,h2,,2026-05-10T22:02:51.028714Z
h5,8,18,0.138,0.5,6001,udp,h1,,2026-05-10T22:02:59.207799Z
h5,8,18,,,5001,tcp,h1,5.77,2026-05-10T22:03:00.315240Z
h4,8,18,,,5002,tcp,h2,8.43,2026-05-10T22:03:02.581775Z
h4,8,18,0.115,1.3,6002,udp,h2,,2026-05-10T22:03:02.582346Z
h5,8,19,0.151,0.49,6001,udp,h1,,2026-05-10T22:03:10.748979Z
h5,8,19,,,5001,tcp,h1,5.91,2026-05-10T22:03:11.759991Z
h4,8,19,0.106,0.52,6002,udp,h2,,2026-05-10T22:03:11.760930Z
h4,8,19,,,5002,tcp,h2,5.91,2026-05-10T22:03:12.777230Z
h5,8,20,,,5001,tcp,h1,8.07,2026-05-10T22:03:23.068789Z
h5,8,20,0.115,1.5,6001,udp,h1,,2026-05-10T22:03:23.069516Z
h4,8,20,0.108,0.5,6002,udp,h2,,2026-05-10T22:03:23.069862Z
h4,8,20,,,5002,tcp,h2,5.67,2026-05-10T22:03:23.070165Z
