dst,duration_s,episode,flow_id,jitter_ms,loss_pct,port,protocol,src,throughput_mbps,timestamp
h4,8,12,e12-h2-h4-g1,0.107,0.33,6002,udp,h2,,2026-05-10T22:53:55.783351Z
h4,8,12,e12-h2-h4-g1,,,5002,tcp,h2,5.78,2026-05-10T22:53:56.519918Z
h4,8,13,e13-h2-h4-g1,,,5002,tcp,h2,8.81,2026-05-10T22:54:06.253233Z
h4,8,13,e13-h2-h4-g1,0.114,1.1,6002,udp,h2,,2026-05-10T22:54:06.253927Z
h5,8,13,e13-h1-h5-g0,,,5001,tcp,h1,5.52,2026-05-10T22:54:06.793317Z
h5,8,13,e13-h1-h5-g0,0.155,0.32,6001,udp,h1,,2026-05-10T22:54:06.794123Z
h4,8,14,e14-h2-h4-g1,0.098,0.31,6002,udp,h2,,2026-05-10T22:54:14.962434Z
h5,8,14,e14-h1-h5-g0,0.106,0.33,6001,udp,h1,,2026-05-10T22:54:15.285138Z
h5,8,14,e14-h1-h5-g0,,,5001,tcp,h1,5.71,2026-05-10T22:54:16.163524Z
h4,8,14,e14-h2-h4-g1,,,5002,tcp,h2,6.15,2026-05-10T22:54:16.433627Z
h5,8,15,e15-h1-h5-g0,0.103,0.25,6001,udp,h1,,2026-05-10T22:54:24.599249Z
h4,8,15,e15-h2-h4-g1,0.102,0.27,6002,udp,h2,,2026-05-10T22:54:25.877589Z
h5,8,15,e15-h1-h5-g0,,,5001,tcp,h1,5.84,2026-05-10T22:54:25.878196Z
h4,8,15,e15-h2-h4-g1,,,5002,tcp,h2,5.85,2026-05-10T22:54:26.333858Z
h5,8,16,e16-h1-h5-g0,,,5001,tcp,h1,8.87,2026-05-10T22:54:36.802225Z
h5,8,16,e16-h1-h5-g0,0.116,1.4,6001,udp,h1,,2026-05-10T22:54:36.802919Z
h4,8,16,e16-h2-h4-g1,,,5002,tcp,h2,8.24,2026-05-10T22:54:37.450626Z
h4,8,16,e16-h2-h4-g1,0.116,1.6,6002,udp,h2,,2026-05-10T22:54:37.451256Z
h5,8,17,e17-h1-h5-g0,0.104,0.26,6001,udp,h1,,2026-05-10T22:54:45.627095Z
h4,8,17,e17-h2-h4-g1,,,5002,tcp,h2,11.1,2026-05-10T22:54:48.537154Z
h5,8,17,e17-h1-h5-g0,,,5001,tcp,h1,5.87,2026-05-10T22:54:48.537505Z
h4,8,17,e17-h2-h4-g1,0.116,1.8,6002,udp,h2,,2026-05-10T22:54:48.537765Z
h5,8,18,e18-h1-h5-g0,0.116,0.24,6001,udp,h1,,2026-05-10T22:54:57.543940Z
h5,8,18,e18-h1-h5-g0,,,5001,tcp,h1,5.67,2026-05-10T22:54:57.544844Z
h4,8,18,e18-h2-h4-g1,,,5002,tcp,h2,9.14,2026-05-10T22:54:59.935770Z
h4,8,18,e18-h2-h4-g1,0.114,1.7,6002,udp,h2,,2026-05-10T22:54:59.936787Z
h5,8,19,e19-h1-h5-g0,0.143,0.24,6001,udp,h1,,2026-05-10T22:55:08.098681Z
h5,8,19,e19-h1-h5-g0,,,5001,tcp,h1,5.54,2026-05-10T22:55:09.072661Z
h4,8,19,e19-h2-h4-g1,0.106,0.28,6002,udp,h2,,2026-05-10T22:55:09.073428Z
h4,8,19,e19-h2-h4-g1,,,5002,tcp,h2,5.57,2026-05-10T22:55:09.812935Z
h5,8,20,e20-h1-h5-g0,,,5001,tcp,h1,7.28,2026-05-10T22:55:19.723493Z
h5,8,20,e20-h1-h5-g0,0.113,0.95,6001,udp,h1,,2026-05-10T22:55:19.723941Z
h4,8,20,e20-h2-h4-g1,0.108,0.25,6002,udp,h2,,2026-05-10T22:55:19.724214Z
h4,8,20,e20-h2-h4-g1,,,5002,tcp,h2,5.19,2026-05-10T22:55:19.724495Z
