episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
31,e31-h2-h11-g1,h2,h11,31.6,70.14,0.0,0.0,-0.08282545454545454
31,e31-h3-h10-g2,h3,h10,18.8,82.411,0.186,0.67,-0.16525618181818183
31,e31-h4-h9-g3,h4,h9,34.2,82.405,0.135,1.4,-0.1734381818181818
32,e32-h1-h12-g0,h1,h12,34.4,88.3355,0.178,1.5,-0.19019354545454542
32,e32-h2-h11-g1,h2,h11,17.6,71.905,0.292,0.13,-0.120062
32,e32-h3-h10-g2,h3,h10,39.7,74.979,0.5,0.12,-0.0867761818181818
32,e32-h4-h9-g3,h4,h9,28.6,67.741,0.257,0.084,-0.08922399999999998
33,e33-h1-h12-g0,h1,h12,45.3,95.4285,0.176,1.7,-0.19454936363636363
33,e33-h2-h11-g1,h2,h11,9.74,80.158,0.561,0.14,-0.15297290909090908
33,e33-h3-h10-g2,h3,h10,47.2,101.57650000000001,0.0,0.0,-0.11733481818181819
33,e33-h4-h9-g3,h4,h9,31.6,81.4145,0.561,0.12,-0.11474045454545455
34,e34-h1-h12-g0,h1,h12,40.4,97.346,0.137,1.7,-0.20705945454545455
34,e34-h2-h11-g1,h2,h11,9.49,77.253,0.0,0.0,-0.13725145454545454
34,e34-h3-h10-g2,h3,h10,17.7,87.7265,0.139,0.62,-0.17510518181818183
34,e34-h4-h9-g3,h4,h9,26.9,78.5995,0.129,1.1,-0.1640639090909091
35,e35-h1-h12-g0,h1,h12,28.2,84.6735,0.279,0.096,-0.12454827272727272
35,e35-h2-h11-g1,h2,h11,22.6,72.2235,0.422,0.13,-0.11238809090909091
35,e35-h3-h10-g2,h3,h10,18.3,116.017,0.092,0.59,-0.22881327272727267
35,e35-h4-h9-g3,h4,h9,24.4,86.744,0.118,0.86,-0.17283236363636365
36,e36-h1-h12-g0,h1,h12,60.9,117.13499999999999,0.392,0.084,-0.13009472727272725
36,e36-h2-h11-g1,h2,h11,29.3,76.483,0.108,1.1,-0.15534127272727274
36,e36-h3-h10-g2,h3,h10,14.1,117.83200000000001,1.481,0.13,-0.22541363636363637
36,e36-h4-h9-g3,h4,h9,33.4,92.525,0.149,1.3,-0.19021672727272726
37,e37-h1-h12-g0,h1,h12,35.9,88.74000000000001,0.142,1.3,-0.17805927272727273
37,e37-h2-h11-g1,h2,h11,27.7,82.9385,0.0,0.0,-0.11551336363636364
37,e37-h3-h10-g2,h3,h10,58.7,113.497,0.212,2.4,-0.24153872727272724
37,e37-h4-h9-g3,h4,h9,43.0,100.9305,0.0,0.0,-0.1236791818181818
38,e38-h1-h12-g0,h1,h12,28.8,64.9065,0.17,0.077,-0.08231936363636362
38,e38-h2-h11-g1,h2,h11,9.16,84.5455,0.37,0.13,-0.16115645454545455
38,e38-h3-h10-g2,h3,h10,18.1,75.40350000000001,0.106,0.65,-0.1510339090909091
38,e38-h4-h9-g3,h4,h9,32.2,63.352500000000006,0.167,0.081,-0.07321154545454547
39,e39-h1-h12-g0,h1,h12,31.7,85.83,0.32,0.087,-0.12029363636363638
39,e39-h2-h11-g1,h2,h11,26.4,82.17,0.157,0.99,-0.166782
39,e39-h3-h10-g2,h3,h10,9.39,96.096,0.458,0.14,-0.18486727272727274
