episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
52,e52-h1-h16-g0,h1,h16,27.3,97.9445,0.0,0.0,0.0018999666666666762
52,e52-h2-h15-g1,h2,h15,8.0,85.2615,0.168,0.092,-0.03526312222222222
53,e53-h1-h16-g0,h1,h16,28.8,91.06700000000001,0.082,1.4,-0.011886200000000003
53,e53-h2-h15-g1,h2,h15,8.26,86.0545,0.167,0.1,-0.03527814444444445
54,e54-h1-h16-g0,h1,h16,7.82,87.836,0.154,0.11,-0.03743582222222221
54,e54-h2-h15-g1,h2,h15,25.0,93.917,0.092,1.1,-0.017570644444444436
55,e55-h1-h16-g0,h1,h16,19.6,89.90899999999999,0.086,0.67,-0.02069784444444442
55,e55-h2-h15-g1,h2,h15,20.2,91.774,0.089,0.78,-0.022142511111111096
56,e56-h1-h16-g0,h1,h16,28.5,92.5575,0.081,1.2,-0.01044416666666666
56,e56-h2-h15-g1,h2,h15,8.41,79.88300000000001,0.116,0.088,-0.03090891111111111
57,e57-h1-h16-g0,h1,h16,23.0,90.5145,0.086,0.97,-0.01800558888888889
57,e57-h2-h15-g1,h2,h15,11.2,84.231,0.169,0.12,-0.027956711111111105
58,e58-h1-h16-g0,h1,h16,14.3,83.9505,0.0,0.0,-0.018592522222222227
58,e58-h2-h15-g1,h2,h15,16.5,89.812,0.083,0.69,-0.027819533333333327
59,e59-h1-h16-g0,h1,h16,12.6,81.814,0.0,0.0,-0.021088399999999993
59,e59-h2-h15-g1,h2,h15,14.8,85.3595,0.143,0.13,-0.020705811111111104
60,e60-h1-h16-g0,h1,h16,7.77,87.82249999999999,0.106,0.088,-0.03706483333333333
60,e60-h2-h15-g1,h2,h15,13.7,85.62299999999999,0.082,0.54,-0.02927535555555555
61,e61-h1-h16-g0,h1,h16,14.6,82.46950000000001,0.155,0.13,-0.01945225555555556
61,e61-h2-h15-g1,h2,h15,12.8,79.32050000000001,0.079,0.56,-0.027784855555555567
62,e62-h1-h16-g0,h1,h16,12.0,79.665,0.122,0.12,-0.02329833333333333
