episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
23,e23-h2-h4-g1,h2,h4,2026-05-28 09:02:27.709139+00:00,6.83,20.66,0.115,1.3,-0.177,69,-0.1863,h2,h4,-0.177,-0.029509
24,e24-h2-h4-g1,h2,h4,2026-05-28 09:03:01.833665+00:00,3.75,22.886000000000003,0.124,0.7,-0.164,70,-0.1864,h2,h4,-0.164,-0.023103600000000002
24,e24-h1-h5-g0,h1,h5,2026-05-28 09:03:01.834819+00:00,7.01,24.299500000000002,0.116,0.94,-0.206,71,-0.18880000000000002,h1,h5,-0.206,-0.0262237
24,e24-h1-h4-g2,h1,h4,2026-05-28 09:03:01.835884+00:00,4.94,23.246000000000002,0.11,0.8,-0.175,72,-0.18755,h1,h4,-0.175,-0.0243016
25,e25-h1-h5-g0,h1,h5,2026-05-28 09:03:33.765769+00:00,3.69,25.282,0.123,0.63,-0.19,73,-0.1869,h1,h5,-0.19,-0.023512199999999997
25,e25-h2-h4-g1,h2,h4,2026-05-28 09:03:33.768662+00:00,4.13,24.7905,0.121,0.82,-0.219,74,-0.18935,h2,h4,-0.219,-0.0258853
25,e25-h1-h4-g2,h1,h4,2026-05-28 09:03:34.500110+00:00,5.89,21.834,0.115,1.4,-0.188,75,-0.1891,h1,h4,-0.188,-0.0320894
26,e26-h1-h5-g0,h1,h5,2026-05-28 09:04:07.595147+00:00,6.04,23.189500000000002,0.121,1.1,-0.207,76,-0.1912,h1,h5,-0.207,-0.028360700000000003
26,e26-h1-h4-g2,h1,h4,2026-05-28 09:04:08.645663+00:00,6.23,22.544,0.129,1.3,-0.185,77,-0.18995,h1,h4,-0.185,-0.0309214
26,e26-h2-h4-g1,h2,h4,2026-05-28 09:04:08.646365+00:00,6.31,23.1235,0.123,0.65,-0.157,78,-0.1886,h2,h4,-0.157,-0.021469099999999998
27,e27-h1-h4-g2,h1,h4,2026-05-28 09:04:42.660758+00:00,3.61,25.343000000000004,0.125,0.81,-0.185,79,-0.1897,h1,h4,-0.185,-0.0262868
27,e27-h1-h5-g0,h1,h5,2026-05-28 09:04:42.662281+00:00,4.38,21.863,0.117,0.97,-0.179,80,-0.1899,h1,h5,-0.179,-0.0262668
27,e27-h2-h4-g1,h2,h4,2026-05-28 09:04:42.662985+00:00,9.71,23.619,0.12,0.93,-0.192,81,-0.1899,h2,h4,-0.192,-0.0245974
28,e28-h2-h4-g1,h2,h4,2026-05-28 09:05:16.497866+00:00,8.11,23.47,0.116,1.3,-0.191,82,-0.19090000000000001,h2,h4,-0.191,-0.030685999999999998
28,e28-h1-h4-g2,h1,h4,2026-05-28 09:05:16.498518+00:00,3.79,23.0805,0.119,0.83,-0.176,83,-0.19205,h1,h4,-0.176,-0.025139299999999996
28,e28-h1-h5-g0,h1,h5,2026-05-28 09:05:16.499144+00:00,4.92,26.982,0.137,0.7,-0.171,84,-0.18865,h1,h5,-0.171,-0.025132199999999993
29,e29-h1-h4-g2,h1,h4,2026-05-28 09:05:48.287771+00:00,3.59,27.113999999999997,0.122,0.87,-0.212,85,-0.1883,h1,h4,-0.212,-0.028248399999999993
29,e29-h2-h4-g1,h2,h4,2026-05-28 09:05:49.611896+00:00,4.16,21.793,0.116,1.0,-0.189,86,-0.1869,h2,h4,-0.189,-0.0267598
