state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.187,-0.187,-0.2,-0.045,-0.076,2,83
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.187,-0.187,-0.2,-0.045,-0.076,2,84
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.28,-0.28,-0.198,0.0,-0.062,2,85
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.28,-0.28,-0.198,0.0,-0.062,2,86
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.179,-0.179,-0.236,0.0,-0.039,4,87
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.179,-0.179,-0.236,0.0,-0.039,4,88
"('h2', 'h4', 'util4', 'active1', 'rtt0', 'loss2')",3,-0.18,-0.18,-0.2,0.0,-0.04,2,89
"('h4', 'h2', 'util4', 'active1', 'rtt0', 'loss2')",3,-0.18,-0.18,-0.2,0.0,-0.04,2,90
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.367,-0.367,-0.241,0.0,-0.081,1,91
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.367,-0.367,-0.241,0.0,-0.081,1,92
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.182,-0.182,-0.199,-0.07,-0.095,3,93
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.182,-0.182,-0.199,-0.07,-0.095,3,94
"('h1', 'h5', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.278,-0.278,-0.201,0.0,-0.061,2,95
"('h5', 'h1', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.278,-0.278,-0.201,0.0,-0.061,2,96
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.212,-0.212,-0.202,-0.098,-0.123,4,97
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.212,-0.212,-0.202,-0.098,-0.123,4,98
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss2')",3,-0.183,-0.183,-0.198,0.0,-0.04,1,99
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss2')",3,-0.183,-0.183,-0.198,0.0,-0.04,1,100
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss1')",3,-0.273,-0.273,-0.242,0.0,-0.06,1,101
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss1')",3,-0.273,-0.273,-0.242,0.0,-0.06,1,102
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.192,-0.192,-0.198,0.0,-0.042,4,103
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.192,-0.192,-0.198,0.0,-0.042,4,104
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.179,-0.179,-0.201,-0.04,-0.071,3,105
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.179,-0.179,-0.201,-0.04,-0.071,3,106
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss2')",4,-0.285,-0.285,-0.244,0.0,-0.063,1,107
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss2')",4,-0.285,-0.285,-0.244,0.0,-0.063,1,108
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.198,-0.198,-0.201,-0.042,-0.076,6,109
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.198,-0.198,-0.201,-0.042,-0.076,6,110
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.274,-0.274,-0.201,0.0,-0.06,3,111
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.274,-0.274,-0.201,0.0,-0.06,3,112
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.174,-0.174,-0.241,-0.044,-0.072,4,113
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.174,-0.174,-0.241,-0.044,-0.072,4,114
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.2,-0.2,-0.201,0.0,-0.044,4,115
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.2,-0.2,-0.201,0.0,-0.044,4,116
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.188,-0.188,-0.2,-0.042,-0.074,6,117
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.188,-0.188,-0.2,-0.042,-0.074,6,118
"('h1', 'h4', 'util2', 'active1', 'rtt0', 'loss2')",3,-0.189,-0.189,-0.239,0.0,-0.042,1,119
"('h4', 'h1', 'util2', 'active1', 'rtt0', 'loss2')",3,-0.189,-0.189,-0.239,0.0,-0.042,1,120
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.176,-0.176,-0.237,-0.04,-0.07,6,121
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.176,-0.176,-0.237,-0.04,-0.07,6,122
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss1')",3,-0.194,-0.194,-0.201,0.0,-0.043,2,123
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss1')",3,-0.194,-0.194,-0.201,0.0,-0.043,2,124
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.197,-0.197,-0.2,-0.076,-0.103,7,125
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.197,-0.197,-0.2,-0.076,-0.103,7,126
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss2')",4,-0.205,-0.205,-0.2,0.0,-0.045,3,127
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss2')",4,-0.205,-0.205,-0.2,0.0,-0.045,3,128
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.221,-0.221,-0.201,-0.071,-0.104,5,129
