state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.105,0.05,-0.124,0.036,0.039,5,84
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.118,-0.003,-0.117,-0.03,-0.024,4,85
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.118,-0.003,-0.117,-0.03,-0.024,4,86
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.096,0.076,-0.126,0.0,0.017,3,87
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.096,0.076,-0.126,0.0,0.017,3,88
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.089,0.087,-0.123,0.019,0.034,3,89
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.089,0.087,-0.123,0.019,0.034,3,90
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.121,-0.121,-0.117,0.0,-0.027,3,91
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.121,-0.121,-0.117,0.0,-0.027,3,92
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.124,-0.124,-0.123,0.0,-0.027,3,93
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.124,-0.124,-0.123,0.0,-0.027,3,94
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.099,0.066,-0.125,0.009,0.022,4,95
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.099,0.066,-0.125,0.009,0.022,4,96
"('h1', 'h5', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.122,-0.122,-0.117,0.0,-0.027,2,97
"('h5', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.122,-0.122,-0.117,0.0,-0.027,2,98
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.096,0.072,-0.123,0.033,0.041,9,99
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.096,0.072,-0.123,0.033,0.041,9,100
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.094,0.071,-0.122,0.0,0.016,2,101
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.094,0.071,-0.122,0.0,0.016,2,102
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.122,-0.122,-0.118,0.002,-0.025,5,103
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.122,-0.122,-0.118,0.002,-0.025,5,104
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.096,0.068,-0.122,0.0,0.015,1,105
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.096,0.068,-0.122,0.0,0.015,1,106
