episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
14,e14-h2-h4-g1,h2,h4,2026-05-28 00:08:50.929137+00:00,4.22,121.509,1.859,0.7,-0.52,41,-0.2523,h2,h4,-0.52,-0.14429599999999998
14,e14-h1-h4-g2,h1,h4,2026-05-28 00:08:51.213901+00:00,3.83,125.739,2.458,0.69,-0.522,42,-0.2696,h1,h4,-0.522,-0.145233
15,e15-h2-h4-g1,h2,h4,2026-05-28 00:09:22.213130+00:00,3.42,28.891,0.128,0.67,-0.19,43,-0.2721,h2,h4,-0.19,-0.048905
15,e15-h1-h4-g2,h1,h4,2026-05-28 00:09:22.400782+00:00,3.67,30.275,0.129,0.78,-0.167,44,-0.27355,h1,h4,-0.167,-0.053566
15,e15-h1-h5-g0,h1,h5,2026-05-28 00:09:22.614818+00:00,3.42,25.444000000000003,0.115,0.58,-0.16,45,-0.25549999999999995,h1,h5,-0.16,-0.042732000000000006
16,e16-h1-h5-g0,h1,h5,2026-05-28 00:09:55.197064+00:00,4.62,23.0195,0.118,1.1,-0.187,46,-0.2384,h1,h5,-0.187,-0.0557935
16,e16-h2-h4-g1,h2,h4,2026-05-28 00:09:56.288821+00:00,3.7,25.9545,0.122,0.86,-0.172,47,-0.22119999999999998,h2,h4,-0.172,-0.051628499999999994
16,e16-h1-h4-g2,h1,h4,2026-05-28 00:09:56.289411+00:00,6.31,26.0115,0.118,1.2,-0.211,48,-0.22325,h1,h4,-0.211,-0.0616165
17,e17-h1-h4-g2,h1,h4,2026-05-28 00:10:29.486974+00:00,6.91,23.195999999999998,0.118,1.6,-0.188,49,-0.22394999999999995,h1,h4,-0.188,-0.070741
17,e17-h1-h5-g0,h1,h5,2026-05-28 00:10:29.487251+00:00,4.09,26.294,0.114,0.61,-0.164,50,-0.22515000000000002,h1,h5,-0.164,-0.044413
17,e17-h2-h4-g1,h2,h4,2026-05-28 00:10:29.487530+00:00,3.79,23.1175,0.124,0.69,-0.141,51,-0.22345,h2,h4,-0.141,-0.043686499999999996
18,e18-h1-h4-g2,h1,h4,2026-05-28 00:11:00.678232+00:00,3.43,25.139499999999998,0.122,0.6,-0.17,52,-0.22235,h1,h4,-0.17,-0.043040499999999995
18,e18-h2-h4-g1,h2,h4,2026-05-28 00:11:02.258610+00:00,5.54,22.366,0.117,1.1,-0.176,53,-0.22240000000000001,h2,h4,-0.176,-0.055046000000000005
18,e18-h1-h5-g0,h1,h5,2026-05-28 00:11:02.259645+00:00,3.62,25.6815,0.12,0.71,-0.171,54,-0.22349999999999998,h1,h5,-0.171,-0.0468595
19,e19-h2-h4-g1,h2,h4,2026-05-28 00:11:33.472840+00:00,3.9,24.741500000000002,0.118,1.0,-0.172,55,-0.22355,h2,h4,-0.172,-0.0545875
19,e19-h1-h4-g2,h1,h4,2026-05-28 00:11:35.470825+00:00,3.56,24.3305,0.115,0.66,-0.162,56,-0.2234,h1,h4,-0.162,-0.0440045
19,e19-h1-h5-g0,h1,h5,2026-05-28 00:11:35.471583+00:00,4.23,25.9235,0.116,0.9,-0.2,57,-0.2252,h1,h5,-0.2,-0.0527325
20,e20-h1-h4-g2,h1,h4,2026-05-28 00:12:08.895587+00:00,6.08,23.691499999999998,0.114,0.97,-0.179,58,-0.22685,h1,h4,-0.179,-0.0524115
20,e20-h2-h4-g1,h2,h4,2026-05-28 00:12:08.896510+00:00,3.52,22.3215,0.118,0.62,-0.144,59,-0.22565,h2,h4,-0.144,-0.040805499999999995
20,e20-h1-h5-g0,h1,h5,2026-05-28 00:12:08.897281+00:00,3.48,22.6435,0.121,0.6,-0.139,60,-0.20675,h1,h5,-0.139,-0.0405375
21,e21-h2-h4-g1,h2,h4,2026-05-28 00:12:40.738614+00:00,0.536,26.266000000000002,0.158,47.0,-0.424,61,-0.20195,h2,h4,-0.424,-0.3265284
21,e21-h1-h5-g0,h1,h5,2026-05-28 00:12:43.029214+00:00,0.027,25.743000000000002,0.068,47.0,-0.451,62,-0.1984,h1,h5,-0.451,-0.3258763
21,e21-h1-h4-g2,h1,h4,2026-05-28 00:12:43.030114+00:00,4.56,38.807,0.12,0.66,-0.162,63,-0.197,h1,h4,-0.162,-0.058391
22,e22-h1-h4-g2,h1,h4,2026-05-28 00:13:15.518437+00:00,4.66,26.4125,0.124,0.93,-0.225,64,-0.19990000000000002,h1,h4,-0.225,-0.054094500000000004
22,e22-h1-h5-g0,h1,h5,2026-05-28 00:13:16.870393+00:00,5.9,25.7915,0.118,1.1,-0.182,65,-0.20099999999999998,h1,h5,-0.182,-0.0584375
22,e22-h2-h4-g1,h2,h4,2026-05-28 00:13:16.871292+00:00,6.5,22.886499999999998,0.119,1.1,-0.168,66,-0.20005,h2,h4,-0.168,-0.055474499999999996
23,e23-h1-h5-g0,h1,h5,2026-05-28 00:13:50.115011+00:00,3.45,24.5055,0.134,0.64,-0.144,67,-0.19865,h1,h5,-0.144,-0.0436285
23,e23-h1-h4-g2,h1,h4,2026-05-28 00:13:50.115661+00:00,6.09,26.0365,0.121,1.1,-0.205,68,-0.19835,h1,h4,-0.205,-0.0586695
23,e23-h2-h4-g1,h2,h4,2026-05-28 00:13:50.116849+00:00,5.36,23.3625,0.116,1.1,-0.178,69,-0.19785,h2,h4,-0.178,-0.0560585
24,e24-h2-h4-g1,h2,h4,2026-05-28 00:14:22.734704+00:00,3.68,27.2225,0.131,0.82,-0.171,70,-0.1982,h2,h4,-0.171,-0.0517165
24,e24-h1-h5-g0,h1,h5,2026-05-28 00:14:22.735470+00:00,5.87,23.143,0.113,1.2,-0.175,71,-0.1999,h1,h5,-0.175,-0.058782
24,e24-h1-h4-g2,h1,h4,2026-05-28 00:14:22.736190+00:00,3.59,23.7015,0.127,0.6,-0.142,72,-0.19849999999999998,h1,h4,-0.142,-0.041596499999999995
25,e25-h1-h5-g0,h1,h5,2026-05-28 00:14:54.563954+00:00,3.67,88.1455,0.136,0.62,-0.515,73,-0.21545,h1,h5,-0.515,-0.10665049999999998
25,e25-h2-h4-g1,h2,h4,2026-05-28 00:14:54.564760+00:00,3.48,67.02250000000001,0.294,0.88,-0.426,74,-0.22820000000000001,h2,h4,-0.426,-0.09366250000000001
25,e25-h1-h4-g2,h1,h4,2026-05-28 00:14:55.317857+00:00,4.46,85.45849999999999,0.741,1.1,-0.468,75,-0.24300000000000002,h1,h4,-0.468,-0.11949449999999999
