state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.186,-0.186,-0.264,0.0,-0.052,4,107
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.186,-0.186,-0.264,0.0,-0.052,4,108
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.188,-0.188,-0.259,0.0,-0.053,3,109
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.188,-0.188,-0.259,0.0,-0.053,3,110
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.154,-0.154,-0.216,0.0,-0.043,3,111
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.154,-0.154,-0.216,0.0,-0.043,3,112
"('h2', 'h4', 'util2', 'active1', 'rtt0', 'loss1')",3,-0.141,-0.141,-0.251,0.0,-0.039,2,113
"('h4', 'h2', 'util2', 'active1', 'rtt0', 'loss1')",3,-0.141,-0.141,-0.251,0.0,-0.039,1,114
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.456,-0.456,-0.23,-0.05,-0.164,4,115
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.456,-0.456,-0.23,-0.05,-0.164,4,116
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.354,-0.354,-0.257,0.0,-0.099,1,117
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.354,-0.354,-0.257,0.0,-0.099,1,118
"('h1', 'h5', 'util1', 'active0', 'rtt2', 'loss1')",4,-0.37,-0.37,-0.239,0.0,-0.104,1,119
"('h5', 'h1', 'util1', 'active0', 'rtt2', 'loss1')",4,-0.37,-0.37,-0.239,0.0,-0.104,1,120
"('h1', 'h5', 'util0', 'active1', 'rtt6', 'loss4')",4,-0.201,-0.201,-0.236,0.0,-0.056,1,121
"('h5', 'h1', 'util0', 'active1', 'rtt6', 'loss4')",4,-0.201,-0.201,-0.236,0.0,-0.056,1,122
"('h1', 'h4', 'util0', 'active0', 'rtt6', 'loss1')",3,-0.346,-0.346,-0.264,0.0,-0.097,1,123
"('h4', 'h1', 'util0', 'active0', 'rtt6', 'loss1')",3,-0.346,-0.346,-0.264,0.0,-0.097,1,124
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.335,-0.335,-0.262,0.0,-0.094,1,125
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.335,-0.335,-0.262,0.0,-0.094,1,126
