episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
25,e25-h1-h5-g0,h1,h5,2026-05-27 13:15:02.956186+00:00,95.3,29.633499999999998,0.039,0.041,-0.055,73,-0.06224999999999999,h1,h5,-0.055,-0.021411499999999997
25,e25-h2-h4-g1,h2,h4,2026-05-27 13:16:07.006526+00:00,95.4,26.189999999999998,0.013,0.015,-0.056,74,-0.06224999999999999,h2,h4,-0.056,-0.017126
25,e25-h1-h4-g2,h1,h4,2026-05-27 13:17:11.302182+00:00,95.3,28.6035,0.033,0.043,-0.068,75,-0.06265,h1,h4,-0.068,-0.0204295
26,e26-h1-h5-g0,h1,h5,2026-05-27 13:18:45.591830+00:00,95.3,26.316499999999998,0.02,0.027,-0.061,76,-0.06294999999999999,h1,h5,-0.061,-0.017636499999999996
26,e26-h1-h4-g2,h1,h4,2026-05-27 13:19:51.317077+00:00,95.2,26.5415,0.017,0.022,-0.059,77,-0.062450000000000006,h1,h4,-0.059,-0.0177155
26,e26-h2-h4-g1,h2,h4,2026-05-27 13:20:24.736381+00:00,95.4,28.2595,0.034,0.054,-0.056,78,-0.0624,h2,h4,-0.056,-0.0204075
27,e27-h1-h4-g2,h1,h4,2026-05-27 13:21:59.705635+00:00,95.4,27.486,0.039,0.063,-0.051,79,-0.0621,h1,h4,-0.051,-0.019913999999999998
27,e27-h1-h5-g0,h1,h5,2026-05-27 13:23:04.834004+00:00,95.4,38.048500000000004,0.022,0.036,-0.05,80,-0.06194999999999999,h1,h5,-0.05,-0.029632500000000006
27,e27-h2-h4-g1,h2,h4,2026-05-27 13:23:36.321201+00:00,95.3,26.5865,0.016,0.019,-0.059,81,-0.061950000000000005,h2,h4,-0.059,-0.017658500000000004
28,e28-h2-h4-g1,h2,h4,2026-05-27 13:25:44.395216+00:00,95.4,28.183500000000002,0.028,0.042,-0.071,82,-0.0628,h2,h4,-0.071,-0.0199595
