state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h12', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.001,0.678,-0.214,0.083,0.261,3,95
"('h12', 'h1', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.001,0.678,-0.214,0.083,0.261,3,96
"('h2', 'h11', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.502,-0.502,-0.227,0.0,-0.151,2,97
"('h11', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.502,-0.502,-0.227,0.0,-0.151,2,98
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,0.006,0.101,-0.026,0.072,0.081,9,99
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,0.006,0.101,-0.026,0.072,0.081,9,100
"('h2', 'h11', 'util2', 'active1', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.273,0.0,-0.3,1,101
"('h11', 'h2', 'util2', 'active1', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.273,0.0,-0.3,1,102
"('h1', 'h12', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.491,-0.491,-0.231,0.0,-0.147,2,103
"('h12', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.491,-0.491,-0.231,0.0,-0.147,2,104
"('h1', 'h12', 'util3', 'active1', 'rtt5', 'loss0')",3,-0.508,-0.508,-0.247,0.0,-0.152,1,105
"('h12', 'h1', 'util3', 'active1', 'rtt5', 'loss0')",3,-0.508,-0.508,-0.247,0.0,-0.152,1,106
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.006,0.724,-0.233,0.22,0.372,5,107
"('h12', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.006,0.724,-0.233,0.22,0.372,5,108
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.004,0.065,-0.025,0.0,0.019,3,109
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.004,0.065,-0.025,0.0,0.019,3,110
"('h2', 'h11', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.01,0.788,-0.257,0.205,0.38,3,111
"('h11', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.01,0.788,-0.257,0.205,0.38,3,112
"('h4', 'h9', 'util2', 'active0', 'rtt0', 'loss0')",3,0.002,0.081,-0.023,0.076,0.077,4,113
"('h9', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,0.002,0.081,-0.023,0.076,0.077,4,114
"('h2', 'h11', 'util1', 'active0', 'rtt5', 'loss0')",3,0.006,0.79,-0.242,0.258,0.417,4,115
"('h11', 'h2', 'util1', 'active0', 'rtt5', 'loss0')",3,0.006,0.79,-0.242,0.258,0.417,4,116
"('h1', 'h12', 'util1', 'active0', 'rtt5', 'loss0')",3,0.008,0.721,-0.218,0.261,0.399,4,117
"('h12', 'h1', 'util1', 'active0', 'rtt5', 'loss0')",3,0.008,0.721,-0.218,0.261,0.399,4,118
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.005,0.053,-0.022,0.081,0.073,10,119
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.005,0.053,-0.022,0.081,0.073,10,120
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,0.012,0.102,-0.02,0.019,0.044,4,121
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,0.012,0.102,-0.02,0.019,0.044,4,122
"('h1', 'h12', 'util2', 'active0', 'rtt0', 'loss0')",3,0.005,0.669,-0.205,0.0,0.201,1,123
"('h12', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,0.005,0.669,-0.205,0.0,0.201,1,124
"('h2', 'h11', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.496,-0.496,-0.257,0.0,-0.149,1,125
"('h11', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.496,-0.496,-0.257,0.0,-0.149,1,126
