state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.053,0.038,-0.065,0.003,0.013,2,80
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.053,0.023,-0.06,0.001,0.007,2,81
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.053,0.023,-0.06,0.001,0.007,2,82
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.058,0.021,-0.065,0.017,0.018,5,83
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.058,0.021,-0.065,0.017,0.018,5,84
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.074,-0.027,-0.065,0.009,-0.001,3,85
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.074,-0.027,-0.065,0.009,-0.001,3,86
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.061,0.019,-0.067,0.01,0.013,6,87
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.061,0.019,-0.067,0.01,0.013,6,88
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.057,0.009,-0.06,-0.003,0.0,8,89
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.057,0.009,-0.06,-0.003,0.0,8,90
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.063,-0.01,-0.06,0.007,0.002,3,91
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.063,-0.01,-0.06,0.007,0.002,3,92
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.057,0.029,-0.067,0.015,0.019,7,93
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.057,0.029,-0.067,0.015,0.019,7,94
"('h1', 'h5', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.06,0.014,-0.065,0.0,0.004,1,95
"('h5', 'h1', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.06,0.014,-0.065,0.0,0.004,1,96
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.088,-0.088,-0.066,0.0,-0.025,4,97
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.088,-0.088,-0.066,0.0,-0.025,4,98
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.062,0.014,-0.066,0.012,0.013,2,99
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.062,0.014,-0.066,0.012,0.013,2,100
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.087,-0.087,-0.062,-0.025,-0.042,3,101
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.087,-0.087,-0.062,-0.025,-0.042,3,102
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.065,0.004,-0.066,0.007,0.006,2,103
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.065,0.004,-0.066,0.007,0.006,2,104
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.054,0.036,-0.066,0.019,0.024,8,105
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.054,0.036,-0.066,0.019,0.024,8,106
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.073,-0.034,-0.062,0.0,-0.009,2,107
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.073,-0.034,-0.062,0.0,-0.009,2,108
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.064,0.005,-0.066,0.018,0.014,6,109
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.064,0.005,-0.066,0.018,0.014,6,110
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.065,-0.009,-0.063,0.0,-0.002,2,111
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.065,-0.009,-0.063,0.0,-0.002,2,112
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.053,0.038,-0.065,0.006,0.015,4,113
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.053,0.038,-0.065,0.006,0.015,4,114
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.086,-0.086,-0.064,-0.0,-0.024,4,115
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.086,-0.086,-0.064,-0.0,-0.024,4,116
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.055,0.029,-0.064,0.015,0.019,5,117
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.055,0.029,-0.064,0.015,0.019,5,118
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.061,0.015,-0.066,0.013,0.014,3,119
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.061,0.015,-0.066,0.013,0.014,3,120
"('h1', 'h4', 'util0', 'active0', 'rtt1', 'loss0')",3,-0.087,-0.087,-0.065,-0.026,-0.043,2,121
"('h4', 'h1', 'util0', 'active0', 'rtt1', 'loss0')",3,-0.087,-0.087,-0.065,-0.026,-0.043,2,122
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.061,0.011,-0.064,0.013,0.012,5,123
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.061,0.011,-0.064,0.013,0.012,5,124
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.052,0.04,-0.064,-0.005,0.008,6,125
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.052,0.04,-0.064,-0.005,0.008,6,126
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.067,-0.004,-0.066,0.014,0.009,4,127
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.067,-0.004,-0.066,0.014,0.009,4,128
"('h2', 'h4', 'util0', 'active0', 'rtt1', 'loss0')",3,-0.086,-0.086,-0.065,0.0,-0.024,1,129
"('h4', 'h2', 'util0', 'active0', 'rtt1', 'loss0')",3,-0.086,-0.086,-0.065,0.0,-0.024,1,130
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.087,-0.087,-0.067,-0.025,-0.042,5,131
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.087,-0.087,-0.067,-0.025,-0.042,5,132
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.063,0.013,-0.067,0.014,0.014,8,133
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.063,0.013,-0.067,0.014,0.014,8,134
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.06,0.016,-0.065,0.024,0.021,9,135
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.06,0.016,-0.065,0.024,0.021,9,136
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.072,-0.023,-0.065,-0.002,-0.008,3,137
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.072,-0.023,-0.065,-0.002,-0.008,3,138
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.059,0.025,-0.066,-0.001,0.006,5,139
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.059,0.025,-0.066,-0.001,0.006,5,140
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.063,0.006,-0.065,0.0,0.002,3,141
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.063,0.006,-0.065,0.0,0.002,3,142
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.063,0.006,-0.065,0.013,0.011,7,143
