state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.068,-0.003,-0.067,0.0,-0.001,1,72
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.065,0.007,-0.067,0.003,0.004,4,73
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.065,0.007,-0.067,0.003,0.004,5,74
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.061,-0.012,-0.057,0.0,-0.003,1,75
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.061,-0.012,-0.057,0.0,-0.003,1,76
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.078,-0.062,-0.058,-0.027,-0.037,3,77
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.078,-0.062,-0.058,-0.027,-0.037,3,78
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.056,0.031,-0.066,0.006,0.013,5,79
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.056,0.031,-0.066,0.006,0.013,5,80
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.053,0.031,-0.062,0.0,0.009,1,81
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.053,0.031,-0.062,0.0,0.009,1,82
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.059,0.01,-0.062,0.015,0.014,8,83
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.059,0.01,-0.062,0.015,0.014,8,84
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.054,0.013,-0.058,-0.0,0.003,2,85
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.054,0.013,-0.058,-0.0,0.003,2,86
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.056,0.03,-0.065,0.0,0.008,2,87
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.056,0.03,-0.065,0.0,0.008,2,88
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.085,-0.069,-0.063,-0.02,-0.034,3,89
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.085,-0.069,-0.063,-0.02,-0.034,3,90
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.065,-0.021,-0.059,0.0,-0.006,1,91
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.065,-0.021,-0.059,0.0,-0.006,1,92
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.068,-0.014,-0.064,0.014,0.006,10,93
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.068,-0.014,-0.064,0.014,0.006,10,94
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.052,0.041,-0.065,0.011,0.02,3,95
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.052,0.041,-0.065,0.011,0.02,3,96
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.066,-0.023,-0.059,0.003,-0.004,3,97
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.066,-0.023,-0.059,0.003,-0.004,3,98
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.052,0.02,-0.059,0.0,0.006,3,99
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.052,0.02,-0.059,0.0,0.006,3,100
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.112,-0.141,-0.067,0.0,-0.04,1,101
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.112,-0.141,-0.067,0.0,-0.04,1,102
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.059,0.013,-0.063,0.006,0.008,4,103
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.059,0.013,-0.063,0.006,0.008,4,104
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.054,0.042,-0.067,0.0,0.012,1,105
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.054,0.042,-0.067,0.0,0.012,1,106
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.062,0.004,-0.063,-0.002,-0.0,3,107
