selection,src,dst,pair,path
212,h1,h4,h1->h4,s1 -> s3 -> s6
213,h2,h4,h2->h4,s2 -> s5 -> s6
214,h2,h4,h2->h4,s2 -> s5 -> s6
215,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
216,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
217,h1,h4,h1->h4,s1 -> s3 -> s6
218,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
219,h2,h4,h2->h4,s2 -> s5 -> s6
220,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
221,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
222,h2,h4,h2->h4,s2 -> s5 -> s6
223,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
224,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
225,h2,h4,h2->h4,s2 -> s3 -> s6
226,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
227,h2,h4,h2->h4,s2 -> s5 -> s6
228,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
229,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
230,h2,h4,h2->h4,s2 -> s5 -> s6
231,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
232,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
233,h2,h4,h2->h4,s2 -> s5 -> s6
234,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
235,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
236,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
237,h2,h4,h2->h4,s2 -> s5 -> s6
238,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
239,h2,h4,h2->h4,s2 -> s5 -> s6
240,h1,h4,h1->h4,s1 -> s3 -> s6
241,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
242,h2,h4,h2->h4,s2 -> s5 -> s6
243,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
244,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
245,h2,h4,h2->h4,s2 -> s5 -> s6
246,h1,h4,h1->h4,s1 -> s3 -> s6
247,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
248,h2,h4,h2->h4,s2 -> s5 -> s6
249,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
250,h2,h4,h2->h4,s2 -> s5 -> s6
251,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
252,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
253,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
254,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
255,h2,h4,h2->h4,s2 -> s5 -> s6
256,h2,h4,h2->h4,s2 -> s5 -> s6
257,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
258,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
259,h2,h4,h2->h4,s2 -> s5 -> s6
260,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
261,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
262,h2,h4,h2->h4,s2 -> s5 -> s6
263,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
264,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
265,h2,h4,h2->h4,s2 -> s5 -> s6
266,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
267,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
268,h2,h4,h2->h4,s2 -> s5 -> s6
269,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
270,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
271,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
272,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
273,h2,h4,h2->h4,s2 -> s3 -> s6
274,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
275,h2,h4,h2->h4,s2 -> s5 -> s6
276,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
277,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
278,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
279,h2,h4,h2->h4,s2 -> s3 -> s6
280,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
281,h2,h4,h2->h4,s2 -> s5 -> s6
282,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
283,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
284,h2,h4,h2->h4,s2 -> s5 -> s6
285,h1,h4,h1->h4,s1 -> s3 -> s6
286,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
287,h2,h4,h2->h4,s2 -> s5 -> s6
288,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
289,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
290,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
291,h2,h4,h2->h4,s2 -> s5 -> s6
292,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
293,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
294,h2,h4,h2->h4,s2 -> s5 -> s6
295,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
296,h2,h4,h2->h4,s2 -> s5 -> s6
297,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
298,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
299,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
300,h2,h4,h2->h4,s2 -> s5 -> s6
301,h2,h4,h2->h4,s2 -> s5 -> s6
302,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
303,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
304,h2,h4,h2->h4,s2 -> s5 -> s6
305,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
306,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
307,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
308,h2,h4,h2->h4,s2 -> s5 -> s6
309,h1,h4,h1->h4,s1 -> s3 -> s6
310,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
311,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
312,h2,h4,h2->h4,s2 -> s5 -> s6
313,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
314,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
315,h2,h4,h2->h4,s2 -> s5 -> s6
316,h2,h4,h2->h4,s2 -> s5 -> s6
317,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
318,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
319,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
320,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
321,h2,h4,h2->h4,s2 -> s5 -> s6
322,h2,h4,h2->h4,s2 -> s5 -> s6
323,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
324,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
325,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
326,h2,h4,h2->h4,s2 -> s5 -> s6
