episode,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward,complete_flow_groups,throughput_mbps_avg10,throughput_mbps_avg25,rtt_ms_avg10,rtt_ms_avg25,jitter_ms_avg10,jitter_ms_avg25,loss_pct_avg10,loss_pct_avg25,absolute_reward_avg10,absolute_reward_avg25
18,24.494999999999997,59.307125,0.08650000000000001,0.48500000000000004,-0.09884688636363634,4,26.36025,26.300833333333333,63.3906875,63.829263888888896,0.081575,0.08056944444444444,0.6301,0.6782222222222223,-0.11084809772727273,-0.11423335858585856
19,24.5,66.626875,0.0745,0.812,-0.12975529545454545,4,26.322000000000003,26.20605263157895,63.398199999999996,63.97650657894737,0.079625,0.08025,0.6343,0.6852631578947368,-0.11113096818181818,-0.11505030263157894
20,23.175,66.9475,0.07775,0.7975,-0.13210013636363635,4,25.857,26.0545,63.543937500000006,64.12505625,0.0795,0.080125,0.6113000000000001,0.690875,-0.11111714772727273,-0.1159027943181818
21,19.145,61.68075,0.081,0.435,-0.11078840909090909,4,25.833499999999997,25.72547619047619,63.669624999999996,64.00866071428571,0.078925,0.08016666666666666,0.6138,0.6786904761904763,-0.11153279999999999,-0.11565925216450215
22,18.2825,60.754625,0.06875,0.3535,-0.10635584090909089,4,26.33575,25.387159090909094,63.8064875,63.86075,0.076925,0.07964772727272727,0.6229,0.6639090909090909,-0.11133634318181815,-0.11523636983471074
23,31.604999999999997,69.143625,0.08975,0.86,-0.12436211363636362,4,26.570749999999997,25.6575,64.667975,64.0904402173913,0.077725,0.08008695652173914,0.67045,0.6724347826086957,-0.11501434545454545,-0.1156331413043478
24,34.525,71.225,0.059250000000000004,0.8275000000000001,-0.12140777272727273,4,26.935750000000002,26.026979166666667,65.3440875,64.38771354166667,0.0748,0.07921875,0.66995,0.6788958333333334,-0.11566038409090909,-0.11587375094696968
25,34.65,66.74875,0.056999999999999995,0.8454999999999999,-0.11311449999999998,4,27.21825,26.3719,65.35345,64.482155,0.072425,0.07833,0.6685,0.68556,-0.11507872272727271,-0.1157633809090909
26,19.8,61.737625,0.07875,0.52,-0.11394774999999999,4,26.70525,26.065899999999996,64.8934375,64.42536,0.0736,0.07880000000000001,0.6587500000000001,0.6670599999999999,-0.11461097499999998,-0.11528397454545454
27,18.375,58.2085,0.08775,0.2295,-0.09500940909090907,4,24.85525,26.040899999999997,64.23803749999999,64.504575,0.0761,0.07874,0.6165499999999999,0.66844,-0.11456881136363635,-0.11555649909090908
28,19.9775,66.19025,0.08975,1.42,-0.16759627272727273,4,24.4035,25.779500000000002,64.92635,64.57825000000001,0.07642499999999999,0.07817,0.7100500000000001,0.70304,-0.12144374999999999,-0.11790570181818179
