state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.131,-0.131,-0.162,0.0,-0.029,1,83
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.131,-0.131,-0.162,0.0,-0.029,1,84
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.158,-0.158,-0.162,-0.083,-0.1,5,85
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.158,-0.158,-0.162,-0.083,-0.1,5,86
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.16,-0.16,-0.145,0.0,-0.035,2,87
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.16,-0.16,-0.145,0.0,-0.035,2,88
"('h2', 'h4', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.129,-0.129,-0.158,0.0,-0.028,1,89
"('h4', 'h2', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.129,-0.129,-0.158,0.0,-0.028,1,90
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.133,-0.133,-0.161,-0.057,-0.074,6,91
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.133,-0.133,-0.161,-0.057,-0.074,6,92
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.175,-0.175,-0.146,-0.054,-0.081,7,93
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.175,-0.175,-0.146,-0.054,-0.081,7,94
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.169,-0.169,-0.158,-0.037,-0.066,2,95
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.169,-0.169,-0.158,-0.037,-0.066,2,96
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.127,-0.127,-0.157,0.0,-0.028,3,97
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.127,-0.127,-0.157,0.0,-0.028,3,98
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.154,-0.154,-0.161,-0.1,-0.112,6,99
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.154,-0.154,-0.161,-0.1,-0.112,6,100
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.163,-0.163,-0.147,-0.035,-0.063,7,101
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.163,-0.163,-0.147,-0.035,-0.063,7,102
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.133,-0.133,-0.156,-0.027,-0.05,4,103
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.133,-0.133,-0.156,-0.027,-0.05,4,104
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",4,-0.125,-0.125,-0.159,0.0,-0.028,1,105
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",4,-0.125,-0.125,-0.159,0.0,-0.028,1,106
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.13,-0.13,-0.155,-0.028,-0.05,4,107
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.13,-0.13,-0.155,-0.028,-0.05,4,108
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.162,-0.162,-0.147,-0.063,-0.085,8,109
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.162,-0.162,-0.147,-0.063,-0.085,8,110
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.165,-0.165,-0.159,-0.037,-0.065,3,111
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.165,-0.165,-0.159,-0.037,-0.065,3,112
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.148,-0.148,-0.147,-0.033,-0.058,2,113
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.148,-0.148,-0.147,-0.033,-0.058,2,114
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.155,-0.155,-0.148,-0.085,-0.1,9,115
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.155,-0.155,-0.148,-0.085,-0.1,9,116
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.149,-0.149,-0.159,-0.034,-0.059,5,117
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.149,-0.149,-0.159,-0.034,-0.059,5,118
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.151,-0.151,-0.155,-0.066,-0.085,3,119
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.151,-0.151,-0.155,-0.066,-0.085,3,120
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.13,-0.13,-0.158,-0.074,-0.086,8,121
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.13,-0.13,-0.158,-0.074,-0.086,8,122
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.151,-0.151,-0.148,0.0,-0.033,7,123
